subject,predicate,object
<http://dx.doi.org/10.1353/ajh.2014.0012>,<http://purl.org/ontology/bibo/pageStart>,"""17"""
<http://dx.doi.org/10.1353/ajh.2014.0012>,<http://purl.org/ontology/bibo/volume>,"""98"""
<http://dx.doi.org/10.1353/ajh.2014.0012>,rdf:type,foaf:Document
<http://dx.doi.org/10.1353/ajh.2014.0012>,rdfs:label,"""Ethnographers and History""@en"
<http://dx.doi.org/10.1353/ajh.2014.0012>,dcterm:title,"""Ethnographers and History""@en"
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.w3.org/2003/01/geo/wgs84_pos#lat>,"""36.144937""^^xsd:float "
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.w3.org/2003/01/geo/wgs84_pos#long>,"""-86.802687""^^xsd:float "
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/cityName>,"""Nashville"""
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/countryCode>,"""US"""
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/countryName>,"""United States"""
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/establishedYear>,"""1873""^^xsd:gYear "
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/hasWikidataId>,<http://www.wikidata.org/entity/Q29052>
<http://www.grid.ac/institutes/grid.152326.1>,<http://www.grid.ac/ontology/wikipediaPage>,<http://en.wikipedia.org/wiki/Vanderbilt_University>
<http://www.grid.ac/institutes/grid.152326.1>,rdf:type,<http://www.grid.ac/ontology/Education>
<http://www.grid.ac/institutes/grid.152326.1>,rdf:type,foaf:Organization
<http://www.grid.ac/institutes/grid.152326.1>,rdfs:label,"""Vanderbilt University"""
<http://www.grid.ac/institutes/grid.152326.1>,foaf:homepage,<http://www.vanderbilt.edu/>
<http://www.grid.ac/institutes/grid.152326.1>,skos:altLabel,"""Vandy"""
